Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work,,,,,,,,,
"4DSP, LLC [RENO,NEVADA]",NNL13AA97P,LaRC - Langley Research Center,,NV,'02',1/18/2013,2/1/2013,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","Purchase Order, Firm Fixed Price","16,007","16,007","16,143",334111,N/A,N/A,FIELD PROGRAMMABLE GATE ARRAY BOARD,,,,,,,,,
"4DSP, LLC [RENO,NEVADA]",NNL13AD16P,LaRC - Langley Research Center,Reno,NV,'02',6/20/2013,9/2/2013,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","Purchase Order, Firm Fixed Price","42,479","42,479","42,479",334111,N/A,N/A,3U COMPACT PERIPHERAL COMPONENT INTERFACE CARDS WITH LX240T VIRTEX-6 FIELD-PROGRAMMABLE GATE ARRAY DEVICE,,,,,,,,,
"4DSP, LLC [RENO,NEVADA]",NNM12AD99P,MSFC - Marshall Space Flight Center,RENO,NV,'02',8/8/2012,11/26/2012,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","Purchase Order, Firm Fixed Price",0,"113,500","113,500",334111,N/A,N/A,PROCUREMENT FOR THE PURCHASE OF THE RTS150 EIGHT CHANNEL FIBER OPTIC MEASUREMENT SYSTEM IN SUPPORT OF ET30.,,,,,,,,,
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JB59T,JSC - Johnson Space Flight Center,,TX,'18',12/31/2008,9/30/2010,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned","BPA Call, Firm Fixed Price",0,"144,079","144,079",541611,N/A,N/A,Management/Support Services,,,,,,,,,
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JB61T,JSC - Johnson Space Flight Center,,TX,'22',12/31/2008,12/31/2014,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned",BPA Call,0,"79,773","79,773",541611,N/A,N/A,Management/Support Services,,,,,,,,,
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JB70Z,JSC - Johnson Space Flight Center,[N/A for IDVs],,'NA',12/30/2008,[None Indicated],"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned","Blanket Purchase Agreement (BPA), Firm Fixed Price",0,0,0,541611,N/A,N/A,"Procurement administrative activities, configuration management of documents, procurement related analysis and report integration",,,,,,,,,
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JC90T,JSC - Johnson Space Flight Center,,TX,'36',2/10/2009,9/30/2010,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned",BPA Call,"-1,455","133,902","133,902",541611,N/A,N/A,To allocate funds for Business Analyst for JSC Procurement Office,,,,,,,,,
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JC93T,JSC - Johnson Space Flight Center,,TX,'22',2/12/2009,9/30/2010,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned",BPA Call,0,"131,389","131,389",541611,N/A,N/A,Prcurement/Business Analyst for JSC Procurement Office,,,,,,,,,
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JE56T,JSC - Johnson Space Flight Center,HOUSTON,TX,'36',6/15/2009,9/30/2010,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned",BPA Call,-348,"110,867","110,867",541611,N/A,N/A,"TAS::80 0121::TAS Procurement administrative activities, configuration management of documents, procurement related analysis and report integration/Administrative Support for Recovery Act Construction Contracts",,,,,,,,,
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ11JA18T,JSC - Johnson Space Flight Center,,TX,'36',10/6/2010,7/15/2013,"SBA Certified HUBZone, Small Disadvantaged Business, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned","BPA Call, Firm Fixed Price","281,223","1,160,221","1,160,221",541611,N/A,N/A,ADMINSTRATIVE SUPPORT FOR JSC CENTER OPERATIONS (JA),,,,,,,,,
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ11JA19T,JSC - Johnson Space Flight Center,,TX,'36',10/1/2010,7/29/2013,"SBA Certified HUBZone, Small Disadvantaged Business, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned","BPA Call, Firm Fixed Price","165,702","942,071","942,071",541611,N/A,N/A,ADMINISTRATIVE SUPPORT FOR JSC PROCUREMENT (BA),,,,,,,,,
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ11JE69T,JSC - Johnson Space Flight Center,,TX,'36',9/19/2011,7/29/2013,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned","BPA Call, Firm Fixed Price","24,979","127,483","127,483",541611,N/A,N/A,Procurement Clerk hours,,,,,,,,,
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ13JB81T,JSC - Johnson Space Flight Center,,TX,'18',3/1/2013,7/29/2013,"SBA Certified HUBZone, Small Disadvantaged Business, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned","BPA Call, Firm Fixed Price","43,865","37,731","37,731",541611,N/A,N/A,IGF::OT::IGF BUSINESS ANALYST SERVICES IN SUPPORT OF THE INTERNATION SPACE STATION,,,,,,,,,
"A & A SHEET METAL PRODUCTS INC [LA PORTE,INDIANA]",NNC13DB57D,GRC - Glenn Research Center,La Porte,IN,'01',8/6/2013,9/10/2013,", Small Business ONLY - [No Vendor Indicators Found]","Delivery Order, Firm Fixed Price","13,933","13,933","13,933",337214,N/A,N/A,STORAGE LOCKER FOR HAZARDOUS CHEMICALS.,,,,,,,,,
"A & A SHEET METAL PRODUCTS INC [LA PORTE,INDIANA]",NND12AD55P,AFRC - Armstrong Flight Research Center,LA PORTE,IN,'01',9/5/2012,10/5/2012,", Small Business ONLY - [No Vendor Indicators Found]","Delivery Order, Firm Fixed Price",0,"10,701","10,701",337214,N/A,N/A,STORAGE CONTAINERS,,,,,,,,,
"A & J VACUUM SERVICES INC [CLIFTON,NEW JERSEY]",NNC13VH36P,GRC - Glenn Research Center,Clifton,NJ,'09',8/1/2013,8/23/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","7,025","7,025","7,025",811219,N/A,N/A,VACUUM TURBO PUMP,,,,,,,,,
"A & L DESIGN INC [BUCYRUS,KANSAS]",NNG13HF81P,GSFC - Goddard Space Flight Center,Bucyrus,KS,'03',9/16/2013,10/16/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation","Purchase Order, Firm Fixed Price","5,350","5,350","5,350",561920,N/A,N/A,IGF::OT::IGF     FUNDS FOR 37X82A DYESUB GRAPHIC; 47X82 DYESUB GRAPHIC; 147X5 MAG GRAPHIC; POWDER COAT BANNERCLIPS; AND DIGITAL COMPOSITION.,,,,,,,,,
"A & N CORPORATION [WILLISTON,FLORIDA]",NNL13AC22P,LaRC - Langley Research Center,Williston,FL,'03',4/4/2013,5/20/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","4,205","4,205","4,205",332919,N/A,N/A,MULTIPLE PORT VACUUM FITTING,,,,,,,,,
"A & N CORPORATION [WILLISTON,FLORIDA]",NNM13AC39P,MSFC - Marshall Space Flight Center,,FL,'03',4/15/2013,7/12/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","49,135","49,135","49,135",332999,N/A,N/A,FABRICATION OF A NEW VACUUM DEPOSITION CHAMBER,,,,,,,,,
"A & N ELECTRIC COOPERATIVE [TASLEY,VIRGINIA]",NNG10WA20C,GSFC - Goddard Space Flight Center,WALLOPS ISLAND,VA,'02',9/15/2010,10/31/2015,Non-Profit Institutions - Other Not For Profit Organization,"Definitive Contract, Firm Fixed Price","5,170,388","22,296,748","27,500,000",221122,NNG10318683R,N/A,Electricity distribution services at the Wallops Flight Facility.,,,,,,,,,
"A & P TECHNOLOGY, INC. [CINCINNATI,OHIO]",NNL13AC57P,LaRC - Langley Research Center,,OH,'02',5/1/2013,7/31/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","Purchase Order, Firm Fixed Price","95,000","95,000","95,000",541712,N/A,N/A,"\IGF::OT::IGF\"" 1.0","INTRODUCTION NASA IS DEVELOPING HYPERSONIC INFLATABLE AERODYNAMIC DECELERATORS (HIADS) FOR APPLICATION TO FUTURE ROBOTIC AND HUMAN MISSIONS REQUIRING ATMOSPHERIC ENTRY.  HIADS OFFER CONSIDERABLE SYSTEM MASS AND VOLUME SAVINGS OVER RIGID AEROSHELL TECHNOLOGY.  TO ADVANCE HIAD DEVELOPMENT AND IDENTIFY TECHNICAL CHALLENGES WITH DEVELOPMENT OF A 10 METER CLASS OF HIAD, TESTING OF INDIVIDUAL ELEMENTS IS NEEDED TO MEET PERFORMANCE REQUIREMENTS FOR POTENTIAL FLIGHT DEMONSTRATIONS.  ONE OF THE CHALLENGES IS DEVELOPING SOFT-GOOD MATERIALS AND FABRICS FOR A DEPLOYABLE THERMAL PROTECTION SYSTEM (TPS).  THIS STATEMENT OF WORK (SOW) DEFINES A FABRICATION EFFORT TO BE PERFORMED BY THE CONTRACTOR THAT WILL DEMONSTRATE AN ABILITY TO MANUFACTURE A LOW-ANGLE BIASED TWO DIMENSIONAL FABRIC THROUGH A BRAIDING PROCESS THAT OTHERWISE CANNOT BE ACHIEVED USING A STANDARD FABRIC WEAVING PROCESS. THE PRIMARY OBJECTIVE IS TO ESTABLISH A MANUFACTURING METHOD THAT USES BRITTLE SILICON CARBIDE CERAMIC YARNS TO OBTAIN A NOMINAL +/- 60  BIASED BIAXIAL BRAIDED TUBE WITH A DIAMETER OF 24 INCHES OF SUFFICIENT LENGTH TO MANUFACTURE A DEPLOYABLE TPS WITH A DIAMETER OF AT LEAST 20 FEET. THE WORK DETAILED HEREIN IS DEFINED AS A SUBSCALE MANUFACTURING EFFORT THAT WILL DEMONSTRATE THE FEASIBILITY OF USING INDUSTRY STANDARD BRAIDING METHODS AND EQUIPMENT TO OBTAIN A REFRACTORY CLOTH OF LENGTH AND QUALITY SUFFICIENT FOR THE MANUFACTURE OF A DEPLOYABLE TPS.  2.0",OBJECTIVES  THE CONTRACTOR SHALL IDENTIFY AND DEMONSTRATE BRAID FABRICATION METHODS BASED ON THE REQUIREMENTS IN THIS SOW.  THE CONTRACT SCOPE OF WORK SHALL INCLUDE THE TASKS LISTED BELOW.  THE DETAILED TECHNICAL REQUIREMENTS FOR THESE TASKS ARE PROVIDED IN TASKS 3.2 AND 3.4 OF THIS SOW.  SUCCESSFUL COMPLETION OF TASK 3.2 IS REQUIRED TO OBTAIN GOVERNMENT AUTHORIZATION TO PROCEED TO TASK 3.4.  THE GOVERNMENT DECISION WHETHER OR NOT TO PROCEED WITH TASK 3.4 WILL BE PROVIDED FOLLOWING THE MIDTERM CONTRACT REVIEW TASK 3.3.  THE SOW FOR THE HIAD ADVANCED LARGE-SCALE BRAIDING DEVELOPMENT AND DEMONSTRATION SOW INCLUDE TECHNICAL TASKS IDENTIFIED AS:  3.1,KICK-OFF MEETING 3.2,SUBSCALE BRAIDED FABRIC 3.3,MIDTERM CONTRACT REVIEW 3.4,LARGE SCALE BRAIDED FABRIC 3.5,FINAL CONTRACT REVIEW    3.0,"TASK TECHNICAL DETAILS  THE PRIMARY WORK PROVIDED FOR IN THE CONTRACT IS DIVIDED INTO TWO MAJOR TASKS FOR THE PURPOSE OF, FIRST DEMONSTRATING PROOF OF CONCEPT THROUGH A PRELIMINARY FABRICATION TRIAL USING A LOWER TEMPERATURE CAPABLE CANDIDATE CERAMIC YARN MATERIAL, AND SECOND, EXTENDING THOSE CAPABILITIES SUCCESSFULLY DEVELOPED AND DEMONSTRATED TO A HIGHER TEMPERATURE CAPABLE SILICON CARBIDE YARN.  THE LOWER TEMPERATURE CANDIDATE YARN SHALL BE NEXTELTM 440 WHICH HAS BEEN CHOSEN BECAUSE IT IS A LOWER COST MATERIAL THAT POSSESSES MECHANICAL AND MANUFACTURING DURABILITY PROPERTIES COMPARABLE TO A HIGHER TEMPERATURE CAPABLE, AND HIGHER COST CG-NICALONTM YARN.  THE SUBSCALE BRAIDED FABRIC TASK 3.2 ADDRESSES THE TECHNICAL REQUIREMENTS FOR BRAIDING BRITTLE CERAMIC YARNS.  SUCCESSFUL COMPLETION OF TASK 3.2 IS REQUIRED TO ASSESS THE PROBABILITY OF SUCCESSFULLY COMPLETING THE LARGE-SCALE BRAIDING TASK 3.4.  AN EXAMINATION OF THE PROGRESS PERFORMED DURING THE SUBSCALE BRAIDED TASK 3.2 SHALL BE CONDUCTED THROUGH A MID-TERM REVIEW.  FOLLOWING SUCCESSFUL COMPLETION OF THE TASKS 3.2 AND 3.3, THE GOVERNMENT WILL ASSESS THE RISKS TO SUCCESSFULLY COMPLETING TASK 3.4 AND MAKE A DECISION ON EXECUTING TASK 3.4.  THE CONTRACTOR MUST HAVE A WRITTEN AUTHORIZATION TO PROCEED FROM THE GOVERNMENT BEFORE EXECUTING WORK UNDER THE LARGE-SCALE BRAIDED FABRIC TASK 3.4.  3.1","KICK-OFF MEETING WITHIN 7 DAYS OF THE CONTRACT AWARD DATE, THE CONTRACTOR SHALL PARTICIPATE IN A KICK-OFF MEETING THAT WILL BE HELD VIA TELEPHONE AND WEB CONFERENCING.  THE PURPOSE OF THE KICK-OFF MEETING IS TO PROVIDE A FORUM AT WHICH THE GOVERNMENT AND THE CONTRACTOR CAN REVIEW THE DETAILED REQUIREMENTS DESCRIBED IN THIS SOW.  THE CONTRACTOR IS NOT REQ"""
"A & P TECHNOLOGY, INC. [CINCINNATI,OHIO]",NNM12AE01P,MSFC - Marshall Space Flight Center,CINCINNATI,OH,'02',8/8/2012,10/2/2012,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","Purchase Order, Firm Fixed Price",0,"11,790","11,790",313221,N/A,N/A,PROCUREMENT FOR A BIAXIAL HYBRID SLEEVE IN SUPPORT OF ES21.,,,,,,,,,
"A & P TECHNOLOGY, INC. [CINCINNATI,OHIO]",NNX13CC09C,NSSC - NASA Shared Services Center,CINCINNATI,OH,'02',3/6/2013,6/24/2017,", Small Business Innovative Research, Small Business - For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","Definitive Contract, Firm Fixed Price","686,318","836,086","836,086",541712,NNX13SBIRPHASE11,N/A,"IGF::OT::IGF -  THE PHASE 2 EFFORT WILL BE USED TO ADVANCE THE MATERIAL AND DESIGN TECHNOLOGIES THAT WERE EXPLORED IN THE PHASE 1 STUDY OF HYBRID GEARS. IN THIS HYBRID APPROACH, THE CONVENTIONAL METALLIC WEB IS REPLACED WITH A COMPOSITE ELEMENT. THIS ALTERNATIVE DESIGN GENERATES A SIGNIFICANT WEIGHT REDUCTION AND THE POTENTIAL FOR THE REDUCTION OF NOISE AND VIBRATION. THE PHASE 2 PROGRAM WILL MAKE THE FIRST LARGE SCALE HYBRID GEARS THAT CAN BE RUN IN A ROTATING GEAR RIG WITH IMPOSED TORQUE LOADING. SEVERAL FULL SCALE GEARS WILL BE MADE AS WELL AS FULL SCALE TEST ELEMENTS. TEST RESULTS FROM FULL SCALE TESTING WILL BE APPLIED TO COMPUTER SIMULATION MODELS. THIS EFFORT WILL APPLY TOPOLOGY OPTIMIZATION TECHNIQUES TO PREDICT THE BEST DESIGN OF THE GEAR ELEMENTS. THIS SHOULD ENABLE SIGNIFICANTLY MORE EFFICIENT DESIGNS THAN THOSE FABRICATED AND TESTED IN THE PHASE 1 PROGRAM. THIS PROGRAM WILL ALSO EXPLORE A POWER TRANSMISSION SYSTEM THAT INTEGRATES GEAR AND SHAFT INTO A SINGLE STRUCTURE. IT IS HOPED THAT THIS INTEGRATED SYSTEM WILL BENEFIT WEIGHT, NOISE AND TOLERANCE OF MISALIGNMENTS.",,,,,,,,,
"A & T MARKETING INC [COLUMBIA,MARYLAND]",NND13AE24D,AFRC - Armstrong Flight Research Center,EDWARDS,CA,'23',9/27/2013,5/30/2014,", Small Disadvantaged Business, Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","Delivery Order, Firm Fixed Price","12,660","12,572","12,572",332510,N/A,N/A,ERGOTRON WORKFIT-A SIT STAND WORKING STATION,,,,,,,,,
"A A TANKS CO [CENTER LINE,MICHIGAN]",NNK13EA40P,KSC - Kennedy Space Flight Center,Center Line,MI,'09',6/21/2013,8/15/2013,", Small Disadvantaged Business, Small Business - For Profit Organization, Partnership Or Limited Liability Partnership, Self Certified Small Disadvantaged Business","Purchase Order, Firm Fixed Price","6,132","6,132","6,132",332420,N/A,N/A,GASEOUS HELIUM ACCUMULATOR.,,,,,,,,,
"A AND M ELECTRONICS SUPPLY INC [STAFFORD,TEXAS]",NNL12AF80P,LaRC - Langley Research Center,Stafford,TX,'22',8/29/2012,10/22/2012,", Small Disadvantaged Business, Small Business - Asian Pacific American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Manufacturer Of Goods, Minority Owned","Purchase Order, Firm Fixed Price",0,"12,260","12,260",334119,N/A,N/A,"8 SLOT CHASSIS, POWER CORD, PXI CHASSIS FILLER PANEL KIT, BNC 2110 NOOSE REJECTING SHIELD, SHIELDED CABLE, MULTIFUNCTION DAQ MODULE, CALIBRATION CERTIFICATE, MXI 4 KIT WITH FIBER CABLE,SOFTWARE FOR WINDOWS 7",,,,,,,,,
"A DAIGGER AND COMPANY INCORPORATED [VERNON HILLS,ILLINOIS]",NNA12AC63D,ARC - Ames Research Center,Vernon Hills,IL,'10',9/26/2012,10/11/2012,", Small Business ONLY - [No Vendor Indicators Found]","Delivery Order, Firm Fixed Price",0,"5,894","5,894",339111,N/A,N/A,CO2 INCUBATOR AND STACKING FRAME WITH CASTORS,,,,,,,,,
"A DAIGGER AND COMPANY INCORPORATED [VERNON HILLS,ILLINOIS]",NNA12AC71D,ARC - Ames Research Center,Vernon Hills,IL,'10',9/19/2012,11/21/2012,", Small Business ONLY - [No Vendor Indicators Found]","Delivery Order, Firm Fixed Price",0,"8,149","8,149",339111,N/A,N/A,EPPENDORF PREMIUM C340 CHEST -86 DEGREE CELCIUS ULTRA-LOW TEMPERATURE LAB FREEZER,,,,,,,,,
"A DAIGGER AND COMPANY INCORPORATED [VERNON HILLS,ILLINOIS]",NNA13AA37D,ARC - Ames Research Center,,IL,'10',12/20/2012,3/19/2013,", Small Business ONLY - [No Vendor Indicators Found]","Delivery Order, Firm Fixed Price","6,585","6,585","6,585",339111,N/A,N/A,VACUUM CENTRIFUGE,,,,,,,,,
"A DAIGGER AND COMPANY INCORPORATED [VERNON HILLS,ILLINOIS]",NNA13AA78D,ARC - Ames Research Center,Vernon Hills,IL,'08',12/21/2012,3/1/2013,", Small Business ONLY - [No Vendor Indicators Found]","Delivery Order, Firm Fixed Price","6,843","6,843","6,843",339111,N/A,N/A,CENTRIFUGE,,,,,,,,,
"A DAIGGER AND COMPANY INCORPORATED [VERNON HILLS,ILLINOIS]",NNA13AC68D,ARC - Ames Research Center,,IL,'10',8/22/2013,4/25/2014,", Small Business ONLY - [No Vendor Indicators Found]","Delivery Order, Firm Fixed Price","19,000","16,414","16,414",339111,N/A,N/A,COMBINED PURCHASE OF REFRIGERATED BENCHTOP-CENTRIFUGE AND MICRO-CENTRIFUGEQUOTE# GSA-RFQ805388-GCU,,,,,,,,,
"A DAIGGER AND COMPANY INCORPORATED [VERNON HILLS,ILLINOIS]",NNA13AC73D,ARC - Ames Research Center,Vernon Hills,IL,'10',9/4/2013,12/3/2013,", Small Business ONLY - [No Vendor Indicators Found]","Delivery Order, Firm Fixed Price","6,000","6,000","6,000",339111,N/A,N/A,PURCHASE OF A REFRIGERATED MICRO-CENTRIFUGE IN SPACE BIOSCIENCES LABORATORYQUOTE# RFQ813597-ILL,,,,,,,,,
"A DAIGGER AND COMPANY INCORPORATED [VERNON HILLS,ILLINOIS]",NNA13AC98D,ARC - Ames Research Center,Vernon Hills,IL,'10',9/12/2013,9/30/2013,", Small Business ONLY - [No Vendor Indicators Found]","Delivery Order, Firm Fixed Price","4,175","4,175","4,175",339111,N/A,N/A,BENCH TOP SPECTROMETER,,,,,,,,,
"A DAIGGER AND COMPANY INCORPORATED [VERNON HILLS,ILLINOIS]",NNM13AB37D,MSFC - Marshall Space Flight Center,Vernon Hills,IL,'10',6/3/2013,6/21/2013,", Small Business ONLY - [No Vendor Indicators Found]","Delivery Order, Firm Fixed Price","2,475","2,475","2,475",339111,N/A,N/A,THE PURPOSE OF THIS PROCUREMENT IS FOR THE PURCHASE OF A SONICATOR BLENDER.,,,,,,,,,
"A E C ABLE ENGINEERING CO INC [GOLETA,CALIFORNIA]",MSFC0200306DNAS803043,MSFC - Marshall Space Flight Center,,CA,'24',12/26/2002,4/23/2013,", Small Business ONLY - [No Vendor Indicators Found]","Definitive Contract, Cost Plus Incentive Fee",0,"3,625,040","1,804,712",336414,N/A,N/A,4200001427 SCALABLE SOLAR SAIL SYSTEM DEVELOPMENT AND GROUND DEMONSTRATION,,,,,,,,,
"A I SOLUTIONS INCORPORATED [LANHAM,MARYLAND]",NNG10HT13D,GSFC - Goddard Space Flight Center,Lanham,MD,'04',7/12/2010,8/3/2013,", Small Business ONLY - [No Vendor Indicators Found]","Delivery Order, Firm Fixed Price",0,"174,668","174,668",541519,N/A,N/A,"FREEFLYER MISSION DONGLE, MAINTENANCE",,,,,,,,,
"A I SOLUTIONS INCORPORATED [LANHAM,MARYLAND]",NNG12LD05D,GSFC - Goddard Space Flight Center,Lanham,MD,'04',1/10/2012,12/31/2012,", Small Business ONLY - [No Vendor Indicators Found]","Delivery Order, Firm Fixed Price",0,"25,587","25,587",541519,N/A,N/A,GSA NASA SOLUTION PACK NODE-LOCKED MAINTENANCE AND GSA FF MISSION NODE-LOCKED MAINTENANCE:  RENEW MAINTENANCE SERVICE AGREEMENT FROM PRIOR YEAR TO EXISTING PRODUCT.,,,,,,,,,
